PRG1,SRK1,PRG2,SRK2,SRK3,BSAA,BSBA,BSCA,PYEA,BSFA,PRGA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,PLCB,PRCB,PLFB,PRFB,PKAC,PACC,PRGC,PMPC,PPRC,RCHD,PGID,TGID,POID,PUND,PHPD,PSPD,PRSD,PGHE,PUHE,PPOE,PBRE,PEYE,TRAF,PPBF,PBSH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PPRI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,PTRK,PBTK,PTAL,PIBL,PHCL,PLEL,PREL,PLFL,PLKL,PSPL,PLSL,PGGM,PHLM,PSTM,PHAN,PJEN,PTEN,PLHN,PRHN,PWIN,PLKN,PRKN,PLSO,PTHP,PIMP,PJMP,PTYP,PCAR,PSAR,PTAR,PLCR,PJER,PLKR,PMOR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PPBS,PRBS,PRGS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,BSBT,SPCT,BSCT,BSFT,PHGT,PRGT,BSGT,PWGT,PHIT,BSPT,PGRT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,PESV,PRAW,PBFW,PLHW,PLTW,PRGY,PLSY,PSTY,sgmp,
0,1,0,0,0,0,5,7,2,4,0,1,10,10,40,Marshall,Shaw,2,7,4,81,0,1,1,0,0,0,0,40,83,0,0,66,10856,15291,218,15291,0,0,78,2,78,0,40,0,0,46,42,63,0,0,58,2,2,52,0,80,1,68,42,49,0,0,15,35,40,0,43,0,0,0,28,0,0,0,0,6,0,0,40,2,0,0,0,2,2,1,40,42,71,0,48,30,0,0,0,0,0,40,0,0,50,74,61,53,11,11,41,48,0,6,3,35,3,14,62,61,15,23,38,7,5,73,0,12,69,75,0,0,56,15,13,0,19,62,60,57,21,71,18,20,0,49,0,0,0,0,0,0,
0,1,0,0,0,8,10,5,2,10,0,7,10,10,42,Casey,Grant,2,8,7,82,0,0,0,0,0,0,0,46,92,0,0,74,10907,15290,218,15290,0,0,89,2,245,0,52,0,0,65,39,33,0,0,71,1,1,80,5,81,1,66,40,41,0,0,17,15,40,0,31,0,0,0,28,0,0,9,0,5,0,0,9,1,0,0,0,1,1,1,59,59,81,0,63,35,0,0,0,0,0,49,0,9,67,44,65,62,0,0,40,41,0,4,3,55,2,16,68,78,0,6,52,30,0,74,0,0,8,60,7,0,65,0,1,0,56,73,63,52,37,40,50,49,0,42,0,1,0,0,0,0,
0,1,0,0,0,10,2,6,1,4,0,7,10,10,40,Alex,Harris,2,10,6,79,0,0,0,0,0,0,0,40,82,0,0,72,2379,16129,230,16129,0,0,76,0,41,0,60,0,0,49,43,63,1,1,63,2,2,59,2,84,1,77,43,50,0,0,17,36,40,0,45,0,0,0,28,0,0,10,0,5,0,0,47,2,0,0,0,1,1,1,40,44,72,0,47,29,0,0,0,0,0,40,0,10,50,71,64,49,0,0,43,49,0,5,0,50,3,13,62,80,5,20,43,0,5,74,0,0,76,68,10,0,54,10,5,0,18,58,56,64,30,68,32,22,0,50,0,0,0,0,0,0,
0,1,0,0,0,10,5,10,2,10,0,9,10,10,40,Jonathan,Francis,2,10,10,76,0,0,0,0,0,0,0,49,86,0,0,37,10946,15287,218,15287,0,0,58,2,150,0,62,0,0,36,69,38,1,1,40,2,2,63,3,86,0,52,80,73,0,0,34,15,40,0,81,0,0,0,28,1,0,0,0,5,0,0,77,1,0,0,0,2,2,1,40,56,60,0,40,17,0,0,0,1,0,60,0,0,31,76,69,63,1,1,70,68,0,5,0,19,3,6,34,19,21,21,19,15,20,74,0,17,167,56,0,0,40,20,16,0,39,19,20,19,20,28,60,33,0,69,0,0,0,0,0,0,
0,1,0,0,0,5,10,7,2,10,0,6,0,0,68,Jeff,Petty,1,10,10,81,0,0,0,0,0,0,0,40,69,0,0,36,10944,15283,218,15283,0,0,81,2,7,0,47,0,0,62,39,40,0,0,67,2,2,77,0,87,0,40,40,40,0,0,0,54,80,0,25,0,0,0,28,0,0,0,0,5,0,1,16,2,0,0,0,1,1,1,76,62,75,0,56,46,0,0,0,0,0,40,0,0,67,50,62,56,0,0,39,40,0,6,0,54,1,0,34,38,4,6,58,29,0,78,0,0,58,30,5,0,59,10,10,0,63,15,29,24,74,21,77,72,0,40,0,0,0,0,0,0,
0,1,0,0,0,10,10,0,0,3,0,9,15,15,40,Marcus,Rivero,2,10,7,68,0,0,0,0,0,0,0,40,89,0,0,37,2107,16123,230,16123,0,0,50,2,181,0,47,0,0,34,73,38,1,1,40,2,2,62,0,72,0,40,72,69,0,0,34,23,40,0,70,0,0,0,28,1,0,0,0,5,0,0,64,2,0,0,0,2,2,1,40,33,40,0,40,21,0,0,0,1,0,40,0,0,32,73,60,64,1,1,73,68,0,3,0,19,5,6,34,20,24,15,20,20,20,78,0,15,155,54,0,0,40,21,14,0,40,20,20,23,21,28,41,34,0,69,0,0,0,0,0,0,
0,1,0,0,0,10,10,0,2,3,0,9,10,10,40,Jamaal,Silva,1,10,7,70,0,0,0,0,0,0,0,40,87,0,0,66,9008,15280,218,15280,0,0,64,2,43,0,61,0,0,47,20,76,0,0,40,2,2,63,1,83,0,59,65,67,0,0,34,31,40,0,62,0,0,0,28,0,0,10,0,5,0,0,2,0,0,0,0,1,1,1,40,50,44,0,40,24,0,0,0,0,0,40,0,10,47,71,67,54,16,16,20,19,0,5,3,44,3,11,69,48,24,15,44,20,20,77,0,15,95,81,0,0,51,21,14,0,23,56,61,80,32,83,25,19,0,20,0,0,0,0,0,0,
0,1,0,0,0,6,10,7,0,10,0,6,4,4,40,Brian,Marcus,1,10,10,67,0,0,0,0,0,0,0,40,80,0,0,36,116,920,13,920,0,0,73,2,162,0,42,0,1,79,64,62,5,5,65,2,2,54,0,80,1,40,66,67,0,0,5,75,72,0,79,0,0,0,28,0,0,0,0,5,0,0,30,0,0,0,0,1,1,1,40,28,71,0,68,70,0,0,0,0,0,40,0,0,74,73,67,65,0,0,65,66,0,6,0,59,1,4,34,41,0,6,60,29,0,76,0,0,65,47,5,0,71,10,10,0,67,28,33,26,51,18,68,59,0,65,0,1,0,0,0,0,
0,1,0,0,0,5,5,5,3,5,0,5,3,3,48,Johnathan,Youngblood,2,5,5,85,0,0,0,0,0,0,0,19,84,0,0,85,2319,81,1,81,0,0,77,2,124,0,50,0,0,62,68,70,3,3,68,2,2,82,7,88,1,81,62,63,0,0,33,75,65,0,63,0,0,0,28,0,0,10,0,5,0,0,23,0,0,0,5,1,1,1,46,83,67,0,63,85,0,0,0,0,0,22,0,10,62,81,82,71,14,14,72,68,0,6,0,52,2,14,71,68,7,8,60,8,8,71,0,8,65,85,8,0,65,8,8,0,62,68,73,80,70,87,65,65,0,73,0,0,0,0,0,0,
0,1,0,0,0,8,10,5,1,10,0,7,10,10,40,Sam,Mosley,0,8,7,80,0,0,0,0,0,0,0,40,85,0,0,62,2161,16119,230,16119,0,0,84,0,158,0,50,0,0,65,40,56,0,0,73,1,1,80,1,79,1,58,40,41,0,0,5,30,41,0,22,0,9,9,28,0,0,0,0,5,0,0,29,1,0,0,0,1,1,1,40,41,79,0,57,23,0,0,0,0,0,48,0,0,65,43,60,51,11,11,40,41,0,6,3,67,1,16,63,67,0,6,54,30,0,73,0,0,8,71,7,0,60,0,1,0,54,73,71,50,54,49,38,29,0,41,0,0,0,0,0,0,
