IMP1,VTP1,IMP2,VTP2,IMP3,BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,RCCB,PLCB,PRCB,PLFB,PRFB,PKAC,RPAC,PACC,PMPC,PPRC,RCHD,RPHD,PUND,PSPD,PGHE,PPOE,PBRE,PEYE,TRAF,PPBF,PSTG,PBSH,PLSH,PRSH,RATH,PCTH,PLTH,PRTH,RIWH,PAGI,PRSI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,RCRK,PTRK,PBTK,PTAL,PIBL,PLEL,PREL,PLKL,PSPL,PLSL,RCCM,PHLM,PHAN,PTEN,PLKN,PRKN,PLSO,RPGP,PTHP,PJMP,PTYP,PCAR,PSAR,PTAR,RICR,PJER,PLKR,RCPR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PRAS,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,STAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,RCOV,PESV,PBFW,PLHW,PLTW
12,0,4,0,2,6,10,7,0,10,6,3,3,43,Kebreyun,Johnson,0,10,10,83,0,0,0,3,0,0,0,0,43,0,68,0,20,792,0,0,86,122,49,0,0,65,48,0,38,3,3,0,63,2,2,0,69,0,78,0,52,49,46,0,0,15,1005,74,71,0,42,0,0,0,0,0,0,6,0,0,2,2,2,1,43,81,0,59,75,0,0,0,0,76,43,0,0,61,72,64,60,11,11,0,49,46,3,0,73,1,1,36,37,0,3,6,65,29,0,72,0,55,47,5,66,10,10,0,70,37,33,48,71,41,78,64,75,43,0,1
8,0,8,0,5,0,5,7,2,4,1,3,3,44,Joe,Merimee,1,7,4,75,0,0,0,1,0,0,0,0,44,0,88,0,62,11793,0,0,75,73,58,0,1,47,47,1,74,3,3,0,58,2,2,0,64,1,89,1,63,46,50,0,0,5,2547,25,44,0,47,0,0,0,0,0,0,6,0,1,2,2,1,11,44,67,0,55,29,0,0,0,0,155,44,0,0,41,77,59,56,13,13,0,47,49,1,3,40,1,14,66,53,15,46,23,37,7,5,70,12,56,53,0,62,15,13,0,30,66,57,72,32,70,25,61,26,46,0,1
8,0,8,0,13,10,10,0,0,3,9,3,3,39,Isaac,Baker,1,10,7,67,0,0,0,1,0,0,0,0,39,0,70,0,32,1105,0,0,52,15,55,0,0,35,64,1,34,3,3,0,39,2,2,0,59,2,73,0,39,65,64,0,0,34,2320,25,39,0,68,0,0,1,0,10,0,5,0,1,2,2,1,6,39,39,0,39,17,0,0,0,1,152,39,0,10,30,69,51,68,1,1,0,65,65,1,0,25,5,8,32,20,24,4,15,25,20,20,74,15,118,50,0,41,21,14,0,38,25,25,25,25,25,54,50,32,65,0,0
12,0,13,0,4,0,5,7,0,4,1,3,3,44,Chip,Maclin,2,7,4,84,0,3,3,3,0,0,0,0,41,0,70,0,39,8748,0,0,64,225,57,0,0,61,66,0,63,3,3,0,64,2,2,0,61,3,87,0,52,65,70,0,0,21,1004,73,70,0,67,0,0,0,0,0,0,5,0,0,2,2,1,4,49,76,0,60,64,0,0,0,0,46,41,0,0,66,70,61,63,11,11,0,65,70,4,0,64,1,4,42,48,15,34,23,61,7,5,78,12,117,53,0,70,15,13,0,71,42,38,34,68,33,52,63,67,69,0,0
5,0,6,0,9,6,10,7,0,10,6,3,3,41,Shaka,Thompson,0,10,10,72,0,0,0,3,0,0,0,0,41,0,82,0,35,9561,0,0,89,210,40,0,0,66,40,0,25,3,3,0,61,1,1,0,72,4,83,1,50,41,41,0,0,5,1175,47,52,0,25,0,0,0,0,0,0,6,0,0,1,1,1,3,41,81,0,72,51,0,0,0,0,176,41,0,0,75,51,64,71,0,0,0,40,31,3,3,63,3,3,29,42,0,37,6,68,29,0,73,0,33,40,5,63,10,10,0,72,25,25,38,44,35,54,62,53,31,0,0
9,0,11,0,12,10,10,0,0,3,9,13,13,36,Sailosi,Taafe,2,10,7,63,0,0,0,3,0,0,0,0,36,0,90,0,35,1048,0,0,71,27,40,0,0,31,80,0,31,4,4,0,36,2,2,0,74,5,80,0,36,81,76,0,0,34,289,33,36,0,74,0,0,1,0,0,0,5,0,2,2,2,2,6,36,51,0,36,40,0,0,0,1,9,36,0,0,36,86,76,74,4,4,0,81,76,4,0,25,5,6,38,29,24,4,15,25,20,20,75,15,134,53,0,36,21,14,0,46,25,29,27,48,28,59,69,33,80,0,0
6,0,10,0,6,6,10,7,0,10,6,0,0,52,Zac,Borrayo,0,10,10,83,0,0,0,2,0,0,0,0,74,0,73,0,36,1818,1,0,68,69,40,0,0,25,25,1,41,3,3,0,42,1,1,0,72,6,83,0,44,42,42,0,0,0,2036,29,54,0,25,0,0,0,0,10,0,5,0,2,1,1,2,15,60,55,0,42,20,0,0,0,0,30,73,0,10,25,51,73,77,0,0,0,25,25,4,0,25,1,19,35,21,0,7,6,25,29,0,70,0,20,30,0,42,10,10,0,35,32,33,34,39,34,61,71,55,15,0,0
11,0,7,0,0,10,10,4,0,10,6,3,3,38,Evrett,Wilkins,0,6,10,77,0,0,0,3,0,0,0,0,38,0,83,0,24,10012,0,0,85,234,44,0,0,55,40,0,31,3,3,0,55,2,2,0,90,7,78,1,41,41,44,0,0,17,1174,68,56,0,39,0,0,0,0,0,0,5,0,2,1,1,1,1,38,73,0,55,76,0,0,0,0,90,38,0,0,61,51,60,60,11,11,0,40,45,3,3,66,2,1,29,52,5,39,10,55,29,26,68,10,35,39,0,58,10,10,0,69,25,31,32,79,30,75,58,74,47,0,1
0,0,7,0,9,0,5,7,0,4,1,3,3,37,Tevin,Wilson Jr.,1,7,4,76,0,0,0,3,0,0,0,0,37,0,92,0,59,8738,0,0,80,194,40,0,0,48,37,0,69,4,4,0,48,2,2,0,62,8,82,1,72,37,37,0,0,20,1173,35,37,0,38,0,0,0,0,0,0,5,0,1,2,2,1,11,37,59,0,50,22,0,0,0,0,89,37,0,0,51,66,62,51,6,6,0,37,36,4,3,47,1,14,71,62,15,34,23,36,7,5,72,12,75,73,0,57,15,13,0,25,65,59,64,25,63,30,60,25,39,0,0
1,0,4,0,2,6,10,7,0,10,6,3,3,36,Patrick,Fett,0,10,10,74,0,0,0,3,0,0,0,0,36,0,80,0,38,1209,0,0,93,7,40,0,0,56,34,0,25,3,3,0,43,2,2,0,77,9,80,1,37,36,36,0,0,17,1168,54,58,0,35,0,0,0,0,0,0,5,0,2,1,1,1,1,36,74,0,44,76,0,0,0,0,89,36,0,0,70,50,57,51,10,10,0,34,31,5,3,64,2,1,32,47,0,4,6,57,29,0,73,0,50,36,5,79,10,10,0,64,25,25,25,70,31,72,58,71,36,0,1
11,0,3,0,11,10,5,10,0,10,9,3,3,38,Chris,Kirby,1,10,10,66,0,0,0,3,0,0,0,0,38,0,82,0,35,5424,0,0,51,223,40,0,0,33,71,0,35,4,4,0,38,2,2,0,48,10,79,0,50,71,77,0,0,34,873,36,38,0,72,0,0,1,0,0,0,5,0,0,2,2,1,6,38,38,0,38,39,0,0,0,1,51,38,0,0,35,73,64,68,0,0,0,71,78,6,0,25,5,8,33,30,21,21,21,25,15,20,73,17,141,60,0,38,20,16,0,54,29,31,27,50,28,25,66,35,80,0,0
4,0,6,0,5,6,10,7,0,10,6,3,3,42,Stanley,Clarke,0,10,10,91,0,0,0,4,0,0,0,0,42,0,94,0,87,2049,1,0,92,186,40,0,0,64,40,0,52,3,3,0,63,1,1,0,80,11,88,1,64,42,42,0,0,17,204,41,42,0,38,0,0,0,0,0,0,5,0,1,1,1,2,12,42,90,0,65,21,0,0,0,0,7,49,0,0,72,52,80,80,11,11,0,41,42,5,0,71,1,16,76,81,0,8,6,62,29,0,71,0,23,71,8,55,10,10,0,62,83,90,52,31,55,38,75,60,40,0,1
6,0,3,0,10,5,10,7,0,10,6,0,0,81,Dennis,Watts-Jackson,2,10,10,89,0,0,0,3,0,0,0,0,43,0,72,0,37,2577,0,0,68,166,45,0,0,52,43,0,27,3,3,0,55,1,1,0,61,12,87,0,43,43,43,0,1,17,357,62,71,0,27,0,0,0,0,9,0,5,0,1,1,1,0,0,81,67,0,69,71,0,0,0,0,18,43,0,9,53,62,74,73,1,1,0,43,43,5,0,43,3,0,26,33,4,10,6,49,29,0,74,0,42,36,5,43,10,10,0,70,34,26,27,70,27,57,73,60,40,0,1
9,0,5,0,5,6,10,7,0,10,6,3,3,39,Antonio,Cooper,0,10,10,84,0,0,0,4,0,0,0,0,39,0,80,0,40,10502,0,0,82,160,46,0,0,57,38,0,25,3,3,0,54,2,2,0,79,13,80,1,39,39,41,0,0,15,203,76,67,0,41,0,0,0,0,0,0,5,0,0,1,1,2,1,39,72,0,59,77,0,0,0,0,14,39,0,0,59,77,65,73,0,0,0,38,42,2,0,70,1,1,17,36,0,41,6,62,29,0,74,0,59,46,5,53,10,10,0,71,39,25,36,64,31,70,67,71,43,0,1
5,0,8,0,5,10,10,4,0,10,6,3,3,44,Derrion,Sherald Jr.,0,6,10,82,0,0,0,3,0,0,0,0,44,0,75,0,23,2348,0,0,85,204,43,0,0,65,46,0,25,3,3,0,62,2,2,0,77,14,82,1,48,46,44,0,0,33,356,71,75,0,42,0,0,0,0,10,0,5,0,0,1,1,1,1,44,77,0,71,69,0,0,0,0,27,44,0,10,61,68,72,67,11,11,0,46,44,3,0,74,3,1,24,34,5,9,10,65,29,26,68,10,44,44,0,65,10,10,0,80,25,44,31,88,37,86,71,82,39,0,1
0,0,5,0,8,10,10,0,0,3,9,3,3,41,Harry,Butterfield,2,10,7,69,0,0,0,2,0,0,3,3,41,0,81,0,35,2367,0,0,59,16,40,0,1,37,81,0,36,4,4,0,41,2,2,0,60,15,84,0,47,81,74,0,0,34,1844,40,41,0,75,0,0,1,0,0,0,5,0,2,2,2,1,6,41,53,0,41,40,0,0,0,1,116,41,0,0,32,75,67,62,11,11,0,81,74,1,0,25,5,8,39,27,24,9,15,25,20,20,75,15,160,55,0,42,21,14,0,47,29,33,31,49,31,55,61,36,73,0,0
2,0,4,0,10,6,10,7,0,10,6,3,3,40,George,Burgess,0,10,10,82,0,0,0,3,0,0,0,0,37,0,80,0,81,8255,0,0,89,189,40,0,0,65,35,0,43,4,4,0,66,1,1,0,73,16,85,1,64,37,43,0,0,5,444,33,46,0,25,0,0,0,0,0,0,5,0,2,1,1,2,12,37,82,0,63,30,0,0,0,0,17,37,0,0,66,55,69,63,11,11,0,35,43,5,0,61,1,16,63,90,0,32,6,60,29,0,71,0,1,62,8,44,10,10,0,56,79,80,47,51,50,34,67,25,45,0,1
4,0,3,0,4,10,5,10,0,10,9,3,3,41,Brian,Hunte,1,10,10,77,0,1,1,4,0,0,0,0,41,0,73,0,78,10568,0,0,69,183,51,0,1,51,30,0,75,4,4,0,48,2,2,0,64,17,80,0,69,66,68,0,0,34,202,25,41,0,69,0,0,0,0,0,0,5,0,2,1,1,2,8,41,78,0,41,38,0,0,0,0,16,41,0,0,30,75,69,58,14,14,0,30,25,1,0,48,1,11,81,40,21,41,21,44,15,20,76,17,104,73,0,47,20,16,0,34,56,55,71,25,77,32,72,25,19,0,0
